treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,27,11,1,0,0,1,0,0,549.2984,729
1,29,4,1,0,0,1,0,0,762.91461,841
1,28,9,1,0,0,1,0,0,10694.29,784
1,27,11,1,0,0,1,0,0,0,729
1,23,7,0,0,0,1,0,0,0,529
1,45,5,1,0,1,1,0,0,8546.7148,2025
1,29,13,1,0,0,0,0,0,7479.6558,841
1,27,9,1,0,0,1,0,0,0,729
1,46,13,1,0,0,0,0,0,647.20459,2116
1,18,6,1,0,0,1,0,0,0,324
1,25,12,1,0,0,0,0,0,11965.81,625
1,28,15,1,0,0,0,0,0,9598.541,784
1,25,11,0,0,0,1,0,0,18783.35,625
1,22,12,1,0,0,0,0,0,18678.08,484
1,21,9,1,0,0,1,0,0,0,441
1,40,11,1,0,0,1,0,0,23005.6,1600
1,22,11,1,0,0,1,0,0,6456.6968,484
1,25,12,1,0,0,0,0,0,0,625
1,18,12,1,0,0,0,0,0,2321.1069,324
1,38,12,0,0,0,0,0,0,4941.8491,1444
1,27,13,1,0,0,0,0,0,0,729
1,27,8,1,0,0,1,0,0,0,729
1,38,11,1,0,0,1,0,0,0,1444
1,23,8,0,1,0,1,0,0,3881.2839,529
1,26,11,1,0,0,1,0,0,17230.961,676
1,21,12,0,0,0,0,0,0,8048.603,441
1,25,8,1,0,0,1,0,0,0,625
1,31,11,1,0,1,1,0,0,14509.93,961
1,17,10,1,0,0,1,0,0,0,289
1,25,11,1,0,0,1,0,0,0,625
1,21,12,1,0,0,0,0,0,9983.7842,441
1,44,11,1,0,0,1,0,0,0,1936
1,25,12,0,0,0,0,0,0,5587.5029,625
1,18,9,1,0,0,1,0,0,4482.8452,324
1,42,12,1,0,0,0,0,0,2456.1531,1764
1,25,10,1,0,0,1,0,0,0,625
1,31,9,0,1,0,1,0,0,26817.6,961
1,24,10,1,0,0,1,0,0,0,576
1,26,10,1,0,0,1,0,0,9265.7881,676
1,25,11,1,0,0,1,0,0,485.2298,625
1,18,11,1,0,0,1,0,0,4814.627,324
1,19,11,1,0,0,1,0,0,7458.105,361
1,43,9,1,0,0,1,0,0,0,1849
1,27,13,1,0,0,0,0,0,34099.281,729
1,17,9,1,0,0,1,0,0,1953.2679,289
1,30,11,1,0,0,1,0,0,0,900
1,26,10,1,0,1,1,2027.999,0,0,676
1,20,9,1,0,0,1,6083.9941,0,8881.665,400
1,17,9,0,1,0,1,445.17041,74.343452,6210.6699,289
1,20,12,1,0,0,0,989.26782,165.2077,0,400
1,18,11,1,0,0,1,858.25427,214.5636,929.88391,324
1,27,12,1,0,1,0,3670.8721,334.04929,0,729
1,21,12,0,0,0,0,3670.8721,334.04941,12558.02,441
1,27,12,1,0,0,0,2143.4131,357.94989,22163.25,729
1,20,12,1,0,0,0,0,377.5686,1652.637,400
1,19,10,1,0,0,1,0,385.27411,8124.7148,361
1,23,12,1,0,0,0,5506.3081,501.0741,671.33179,529
1,29,14,1,0,0,0,0,679.6734,17814.98,841
1,18,10,1,0,0,1,0,798.9079,9737.1543,324
1,19,9,1,0,0,1,0,798.9079,17685.18,361
1,27,13,0,0,1,0,9381.5664,853.72247,0,729
1,18,11,0,0,0,1,3678.231,919.55792,4321.7051,324
1,27,9,1,0,1,1,0,934.44537,1773.423,729
1,22,12,1,0,0,0,5605.8521,936.17731,0,484
1,23,10,1,0,1,1,0,936.4386,11233.26,529
1,23,12,0,1,0,0,9385.7402,1117.439,559.44318,529
1,20,11,1,0,0,1,3637.498,1220.8361,1085.4399,400
1,17,9,1,0,0,1,1716.509,1253.439,5445.2002,289
1,28,11,1,0,0,1,0,1284.079,60307.93,784
1,26,11,1,0,1,1,0,1392.853,1460.36,676
1,20,11,1,0,0,1,16318.62,1484.994,6943.3418,400
1,24,11,1,0,1,1,824.38861,1666.113,4032.708,576
1,31,9,1,0,0,1,0,1698.6071,10363.27,961
1,23,8,0,0,1,1,0,1713.15,4232.3091,529
1,18,10,1,0,0,1,2143.4109,1784.274,11141.39,324
1,29,12,1,0,0,0,10881.94,1817.2841,0,841
1,26,11,0,0,0,1,0,2226.2661,13385.86,676
1,24,9,1,0,0,1,9154.7002,2288.675,4849.5591,576
1,25,12,1,0,0,0,14426.79,2409.2739,0,625
1,24,10,1,0,0,1,4250.4019,2421.947,1660.5081,576
1,46,8,1,0,0,1,3165.658,2594.7229,0,2116
1,31,12,0,0,0,0,0,2611.218,2484.5491,961
1,19,11,1,0,0,1,2305.0259,2615.2759,4146.603,361
1,19,8,1,0,0,1,0,2657.0569,9970.6807,361
1,27,11,1,0,0,1,2206.9399,2666.2739,0,729
1,26,11,1,0,1,1,0,2754.646,26372.279,676
1,20,10,1,0,0,1,5005.731,2777.355,5615.189,400
1,28,10,1,0,0,1,0,2836.5061,3196.571,784
1,24,12,1,0,0,0,13765.75,2842.7639,6167.6812,576
1,19,8,1,0,0,1,2636.353,2937.2639,7535.9419,361
1,23,12,1,0,0,0,6269.3408,3039.96,8484.2393,529
1,42,9,1,0,1,1,0,3058.531,1294.4091,1764
1,25,13,1,0,0,0,12362.93,3090.7319,0,625
1,18,9,1,0,0,1,0,3287.375,5010.3418,324
1,21,12,1,0,0,0,6473.6831,3332.4089,9371.0371,441
1,27,10,1,0,0,1,1001.146,3550.075,0,729
1,21,8,1,0,0,1,989.26782,3695.897,4279.6128,441
1,22,9,1,0,0,1,2192.877,3836.9861,3462.564,484
1,31,4,1,0,0,1,8517.5889,4023.2109,7382.5488,961
1,24,10,1,0,1,1,11703.2,4078.1521,0,576
1,29,10,1,0,0,1,0,4398.9502,0,841
1,29,12,1,0,0,0,9748.3867,4878.937,10976.51,841
1,19,10,0,0,0,1,0,5324.1089,13829.62,361
1,19,11,0,1,1,1,5424.4849,5463.8032,6788.4629,361
1,31,9,1,0,0,1,10717.03,5517.8408,9558.501,961
1,22,10,1,0,1,1,1468.348,5588.6641,13228.28,484
1,21,9,1,0,0,1,6416.4702,5749.3311,743.66663,441
1,17,10,1,0,0,1,1291.468,5793.8521,5522.7881,289
1,26,12,1,0,1,0,8408.7617,5794.8311,1424.944,676
1,20,9,0,1,0,1,12260.78,5875.0488,1358.6429,400
1,19,10,1,0,0,1,4121.9492,6056.7539,0,361
1,26,10,1,0,0,1,25929.68,6788.958,672.87732,676
1,28,11,1,0,0,1,1929.0291,6871.856,0,784
1,22,12,0,1,1,0,492.2305,7055.7021,10092.83,484
1,33,11,1,0,0,1,0,7867.916,6281.4331,1089
1,22,12,0,0,0,0,6759.9941,8455.5039,12590.71,484
1,29,10,0,1,0,1,0,8853.6738,5112.0142,841
1,33,12,1,0,1,0,20279.949,10941.35,15952.6,1089
1,25,14,1,0,1,0,35040.07,11536.57,36646.949,625
1,35,9,1,0,1,1,13602.43,13830.64,12803.97,1225
1,35,8,1,0,1,1,13732.07,17976.15,3786.6279,1225
1,33,11,1,0,1,1,14660.71,25142.24,4181.9419,1089
0,23,10,1,0,0,1,0,0,0,529
0,26,12,0,0,0,0,0,0,12383.68,676
0,22,9,1,0,0,1,0,0,0,484
0,18,9,1,0,0,1,0,0,10740.08,324
0,45,11,1,0,0,1,0,0,11796.47,2025
0,18,9,1,0,0,1,0,0,9227.0518,324
0,24,8,0,0,0,1,0,0,10569.27,576
0,34,11,1,0,1,1,0,0,6040.335,1156
0,24,4,0,1,0,1,0,0,3880.833,576
0,36,10,1,0,0,1,0,0,0,1296
0,21,14,1,0,0,0,0,0,5775.062,441
0,28,9,1,0,0,1,0,0,0,784
0,27,7,1,0,1,1,0,0,0,729
0,19,11,0,0,0,1,0,0,0,361
0,20,8,1,0,0,1,0,0,0,400
0,34,12,1,0,0,0,0,0,2113.7219,1156
0,24,10,1,0,0,1,0,0,7618.6392,576
0,22,8,0,1,0,1,0,0,9920.9453,484
0,25,11,1,0,0,1,0,0,4196.375,625
0,39,9,1,0,0,1,0,0,0,1521
0,19,9,1,0,1,1,0,0,16658.25,361
0,44,9,1,0,0,1,0,0,9722.0029,1936
0,27,8,1,0,0,1,0,0,3783.6599,729
0,25,8,1,0,0,1,0,0,3515.929,625
0,31,10,1,0,0,1,0,0,17014.59,961
0,34,10,1,0,1,1,0,0,0,1156
0,21,7,0,1,0,1,0,0,0,441
0,33,12,1,0,0,0,0,0,5970.2568,1089
0,18,10,0,1,0,1,0,0,1859.167,324
0,26,12,1,0,1,0,0,0,6191.9429,676
0,31,12,1,0,0,0,0,0,7284.394,961
0,35,10,1,0,0,1,0,0,445.8309,1225
0,20,12,1,0,0,0,0,0,0,400
0,25,11,1,0,0,1,0,0,0,625
0,25,10,1,0,0,1,0,0,7367.04,625
0,35,11,1,0,0,1,0,0,0,1225
0,20,10,1,0,0,1,0,0,2015.5031,400
0,25,9,0,1,0,1,0,0,15791.13,625
0,27,10,1,0,0,1,0,0,1135.47,729
0,20,11,0,1,0,1,0,0,6378.7202,400
0,26,11,1,0,0,1,0,0,7176.187,676
0,38,8,1,0,0,1,0,0,0,1444
0,34,10,1,0,0,1,0,0,7952.54,1156
0,19,12,1,0,0,0,0,0,0,361
0,32,8,1,0,0,1,0,0,7152.1318,1024
0,20,9,0,1,0,1,0,0,8329.8232,400
0,23,10,1,0,0,1,0,0,0,529
0,38,10,1,0,0,1,0,0,12429.91,1444
0,24,11,1,0,0,1,0,0,0,576
0,23,11,1,0,0,1,0,0,5088.7598,529
0,20,7,0,1,0,1,0,0,4374.04,400
0,21,11,1,0,0,1,0,0,1553.291,441
0,25,10,1,0,0,1,0,0,0,625
0,22,11,1,0,1,1,0,0,1698.304,484
0,23,11,1,0,0,1,0,0,0,529
0,24,12,0,0,0,0,0,0,11294.63,576
0,29,11,1,0,0,1,0,0,0,841
0,24,11,1,0,0,1,0,0,14626.39,576
0,22,9,1,0,0,1,0,0,12898.38,484
0,28,11,1,0,0,1,0,0,5767.1328,784
0,18,10,0,1,0,1,0,0,6527.9189,324
0,26,10,1,0,0,1,0,0,3931.238,676
0,25,10,1,0,0,1,0,0,20942.24,625
0,24,10,1,0,0,1,0,0,0,576
0,26,5,1,0,0,1,0,0,0,676
0,36,10,1,0,0,1,0,0,14690.35,1296
0,22,11,1,0,0,1,0,0,0,484
0,25,12,1,0,0,0,0,0,3418.0969,625
0,27,11,1,0,0,1,0,0,11197.34,729
0,29,8,1,0,0,1,0,0,0,841
0,24,12,1,0,0,0,0,0,0,576
0,22,10,1,0,0,1,0,0,0,484
0,24,7,1,0,0,1,0,0,1455.6899,576
0,29,12,1,0,0,0,0,0,1890.937,841
0,25,11,0,1,1,1,0,0,4485.6162,625
0,30,12,1,0,0,0,0,0,13613.35,900
0,22,8,1,0,0,1,0,0,1390.509,484
0,55,3,1,0,0,1,0,0,5843.7959,3025
0,20,10,1,0,0,1,0,0,8598.5225,400
0,34,11,1,0,0,1,0,0,2920.199,1156
0,22,12,1,0,0,0,0,0,0,484
0,32,12,0,1,1,0,0,0,6735.3198,1024
0,31,10,1,0,0,1,0,0,0,961
0,18,9,1,0,0,1,0,0,0,324
0,50,10,0,1,0,1,0,0,0,2500
0,25,11,1,0,1,1,0,0,44.755459,625
0,23,10,1,0,1,1,0,0,0,529
0,38,10,1,0,0,1,0,0,0,1444
0,25,10,1,0,1,1,0,0,3701.812,625
0,42,10,1,0,0,1,0,0,6930.3359,1764
0,39,12,1,0,1,0,0,0,3795.7991,1521
0,34,13,1,0,1,0,0,0,5193.2471,1156
0,24,7,1,0,0,1,0,0,2193.5281,576
0,32,11,1,0,0,1,0,0,11120.53,1024
0,27,13,1,0,0,0,0,0,7609.5181,729
0,26,10,1,0,0,1,0,0,2169.0271,676
0,44,11,1,0,0,1,0,0,0,1936
0,25,11,1,0,0,1,0,0,1264.2321,625
0,25,12,1,0,0,0,0,0,0,625
0,28,12,1,0,1,0,0,0,0,784
0,32,10,1,0,0,1,0,0,0,1024
0,22,10,1,0,0,1,0,0,0,484
0,19,9,1,0,0,1,0,0,5712.6431,361
0,31,10,1,0,1,1,0,0,0,961
0,23,11,1,0,0,1,0,0,0,529
0,33,11,1,0,0,1,0,0,0,1089
0,27,10,1,0,0,1,0,0,1184.882,729
0,29,11,1,0,1,1,0,0,10225.88,841
0,23,10,1,0,0,1,0,0,0,529
0,25,9,1,0,1,1,0,0,4715.3711,625
0,25,10,1,0,0,1,0,0,289.78989,625
0,24,10,1,0,0,1,0,0,0,576
0,28,8,0,0,0,1,0,0,8190.4209,784
0,26,6,1,0,0,1,0,0,4813.0498,676
0,30,14,1,0,1,0,0,0,7344.6782,900
0,25,10,1,0,1,1,0,0,0,625
0,29,11,1,0,1,1,0,0,0,841
0,25,12,1,0,1,0,0,0,0,625
0,28,13,1,0,0,0,0,0,0,784
0,23,11,1,0,0,1,0,0,4350.9072,529
0,54,11,1,0,0,1,0,0,7812.522,2916
0,33,5,0,1,0,1,0,0,0,1089
0,20,8,1,0,0,1,0,0,3644.655,400
0,45,9,1,0,0,1,0,0,4844.8032,2025
0,39,6,1,0,0,1,0,0,0,1521
0,26,12,1,0,0,0,0,0,0,676
0,23,10,1,0,0,1,0,0,0,529
0,27,12,0,0,0,0,0,0,14792.9,729
0,33,9,0,1,1,1,0,0,0,1089
0,25,10,1,0,1,1,0,0,0,625
0,23,8,1,0,0,1,0,0,3746.7009,529
0,18,8,1,0,0,1,0,0,1568.15,324
0,17,8,1,0,0,1,0,0,7010.4438,289
0,19,9,0,1,0,1,0,0,3811.6831,361
0,18,8,0,1,0,1,0,0,10798.56,324
0,18,11,1,0,0,1,0,0,4657.2729,324
0,17,11,1,0,0,1,0,0,8551.5332,289
0,19,10,1,0,0,1,0,0,4309.8779,361
0,19,10,1,0,0,1,0,0,5286.396,361
0,18,9,1,0,0,1,0,0,12486.17,324
0,18,9,1,0,0,1,0,0,10877.35,324
0,18,10,1,0,0,1,0,0,202.2847,324
0,17,10,1,0,0,1,0,0,2657.7051,289
0,18,7,1,0,0,1,0,0,4132.5771,324
0,18,11,1,0,0,1,0,0,11303.14,324
0,19,10,0,1,0,1,0,0,0,361
0,18,9,1,0,0,1,0,0,0,324
0,17,10,1,0,0,1,0,0,0,289
0,17,10,1,0,0,1,0,0,2189.426,289
0,19,11,1,0,0,1,0,0,0,361
0,17,8,0,0,0,1,0,0,10210.99,289
0,18,10,1,0,0,1,0,0,11048.08,324
0,18,9,1,0,0,1,0,0,0,324
0,17,8,1,0,0,1,0,0,8993.8652,289
0,19,6,0,1,0,1,0,0,5071.8008,361
0,19,10,0,0,0,1,0,0,3194.01,361
0,17,11,0,0,0,1,0,0,0,289
0,20,9,1,0,0,1,0,0,5193.0889,400
0,17,9,1,0,0,1,0,0,0,289
0,17,10,1,0,0,1,0,0,275.5661,289
0,17,9,1,0,0,1,0,0,3590.7019,289
0,19,11,1,0,0,1,0,0,0,361
0,19,10,1,0,1,1,0,0,12797.67,361
0,20,9,1,0,0,1,0,0,2035.9139,400
0,18,9,1,0,0,1,0,0,2389.679,324
0,18,11,1,0,0,1,0,0,0,324
0,17,10,0,1,0,1,0,0,8469.2754,289
0,19,11,1,0,0,1,0,0,0,361
0,17,10,1,0,0,1,0,0,1143.387,289
0,17,9,0,1,0,1,0,0,5114.814,289
0,18,10,1,0,0,1,0,0,781.2243,324
0,21,9,1,0,0,1,591.49908,0,3343.2241,441
0,18,10,1,0,0,1,1563.249,0,9602.4395,324
0,19,11,1,0,0,1,1626.623,0,0,361
0,24,9,1,0,0,1,2788.498,0,16461.57,576
0,28,11,0,1,1,1,3472.948,0,6771.6221,784
0,25,11,1,0,0,1,5281.2451,0,0,625
0,21,7,1,0,0,1,33799.949,0,11011.57,441
0,39,11,1,0,0,1,0,83.689636,0,1521
0,36,12,1,0,0,0,0,142.39729,0,1296
0,24,12,1,0,0,0,0,159.8847,0,576
0,17,11,1,0,0,1,989.26782,165.2077,4251.127,289
0,18,10,1,0,0,1,960.42682,240.1067,2891.668,324
0,18,10,1,0,0,1,0,273.55249,5514.3652,324
0,28,10,1,0,0,1,1471.293,367.82339,4858.895,784
0,27,13,0,0,0,0,5214.3062,474.5018,4812.5762,729
0,31,12,0,0,0,0,0,494.64301,0,961
0,22,9,1,0,0,1,0,506.40759,604.19873,484
0,31,10,1,0,0,1,0,520.44629,14527.88,961
0,26,10,1,0,1,1,6140.3672,558.77338,0,676
0,18,9,0,0,0,1,0,559.59601,7300.498,324
0,23,11,1,0,0,1,6382.3091,580.7901,0,529
0,20,12,1,0,0,0,0,591.81512,4159.9189,400
0,19,10,1,0,0,1,0,604.15387,0,361
0,18,11,1,0,0,1,1064.699,645.27228,5497.5908,324
0,17,10,1,0,0,1,0,664.56897,0,289
0,27,12,1,0,1,0,0,752.39008,0,729
0,27,11,1,0,0,1,3065.1941,766.29858,0,729
0,28,12,0,0,0,0,0,803.34302,16477.02,784
0,28,11,1,0,0,1,2431.949,863.47949,0,784
0,21,10,1,0,0,1,6661.063,1162.3621,39483.531,441
0,17,10,0,1,0,1,4905.1191,1168.902,11306.27,289
0,26,11,1,0,0,1,4699.9629,1174.991,6672.021,676
0,29,9,1,0,0,1,0,1203.824,9378.6533,841
0,17,10,0,1,0,1,1203.609,1239.6281,5088.9858,289
0,22,11,1,0,0,1,7914.1309,1321.66,2639.29,484
0,24,11,1,0,0,1,0,1327.993,9495.9023,576
0,20,12,1,0,0,0,557.69879,1371.473,20893.109,400
0,18,12,1,0,0,0,0,1405.512,0,324
0,24,11,0,0,0,1,2669.7251,1468.3831,10361.69,576
0,21,9,0,0,0,1,2988.4121,1577.167,1740.199,441
0,30,8,1,0,0,1,0,1706.657,0,900
0,31,11,1,0,0,1,17711.881,1726.4449,0,961
0,17,10,0,1,0,1,1442.681,1734.559,6354.1938,289
0,19,9,1,0,0,1,8409.627,1778.089,7171,361
0,23,11,1,0,0,1,0,1896.0229,5573.5469,529
0,22,12,1,0,0,0,4380.0171,2003.6801,439.68811,484
0,29,12,1,0,0,0,22859.439,2080.209,16969.949,841
0,22,10,1,0,0,1,0,2174.9551,5344.021,484
0,29,13,1,0,0,0,718.24921,2265.5791,2725.322,841
0,19,11,1,0,0,1,721.34058,2445.5891,9772.2832,361
0,17,9,1,0,0,1,0,2595.2671,0,289
0,18,10,1,0,0,1,1716.509,2682.125,0,324
0,19,12,1,0,0,0,8417,2814.1951,1720.907,361
0,20,6,1,0,0,1,6006.8789,2850.6101,0,400
0,33,11,1,0,0,1,10523.83,2899.8201,18859.891,1089
0,36,11,0,1,0,1,5443.7339,3063.8779,1324.542,1296
0,25,11,1,0,0,1,15209.99,3072.7261,284.65839,625
0,19,11,1,0,0,1,3504.0139,3285.6799,11195.93,361
0,23,8,1,0,0,1,7724.2832,3403.0559,0,529
0,17,11,1,0,0,1,4080.73,3796.0291,0,289
0,43,10,1,0,0,1,2502.8679,4128.4429,7565.2729,1849
0,26,11,1,0,1,1,0,4184.7319,0,676
0,27,11,1,0,1,1,0,4491.8838,0,729
0,19,11,1,0,0,1,6337.4922,4503.064,0,361
0,28,11,1,0,1,1,8593.1631,5393.895,4974.5859,784
0,28,12,1,0,1,0,10585.13,5551.4561,12780.02,784
0,26,8,1,0,0,1,1126.29,5562.5981,3523.5779,676
0,31,12,1,0,0,0,0,5613.9092,0,961
0,23,11,1,0,0,1,7617.3618,5716.4072,10274.84,529
0,20,12,1,0,0,0,7182.4922,6004.728,4779.7202,400
0,28,10,1,0,1,1,8293.3447,6449.48,16988.18,784
0,39,12,1,0,1,0,19785.32,6608.1372,499.2572,1521
0,21,8,1,0,0,1,39570.68,6608.3042,3083.5811,441
0,22,11,1,0,0,1,8810.0674,6974.4839,3708.719,484
0,20,11,1,0,0,1,8009.1641,7666.875,7659.2178,400
0,21,11,0,1,0,1,2992.5339,8920.4707,20857.84,441
0,23,12,0,1,0,0,5721.6958,8960.6836,7078.1782,529
0,29,9,1,0,0,1,9268.9434,9160.6934,0,841
0,28,9,1,0,1,1,10222.41,9210.4473,1239.844,784
0,30,11,1,0,1,1,0,9311.9385,3982.801,900
0,25,10,1,0,1,1,13519.97,9319.4443,0,625
0,28,11,1,0,1,1,824.38892,10033.91,0,784
0,22,10,0,0,0,1,27864.359,10598.67,7094.9199,484
0,44,9,1,0,1,1,12260.78,10857.24,12359.31,1936
0,21,9,1,0,0,1,31886.43,12357.22,0,441
0,28,11,1,0,0,1,17491.449,13371.25,0,784
0,29,9,0,1,0,1,9594.3076,16341.16,16900.301,841
0,25,9,1,0,1,1,24731.619,16946.631,7343.9639,625
0,22,10,0,0,1,1,25720.92,23031.98,5448.8008,484
